,127.115853,37.377322,,,
 20160315110520696,127.114396,37.378376,Love&Flower    ,0026661cf000,W 
 20160311210325588,127.116027,37.379164,Love&Flower    ,0026661cf000,W 
 20160303092348188,127.115423,37.378420,Love&Flower    ,0026661cf000,W 
 20160229173620530,127.110841,37.382059,Love&Flower    ,0026661cf000,W 
 20160226135652590,127.108439,37.378788,Love&Flower    ,0026661cf000,W 
 20160223204031850,127.111030,37.379671,Love&Flower    ,0026661cf000,W 
 20160220034105810,127.115339,37.378575,Love&Flower    ,0026661cf000,W 
 20160218131051270,127.115309,37.378532,Love&Flower    ,0026661cf000,W 
 20160211151955195,127.114605,37.379634,Love&Flower    ,0026661cf000,W 
 20161022081649000,127.115537,37.378272,               ,00300dcc6c10,I 
 20161022081649000,127.115410,37.378381,               ,00300dcc6c50,I 
 20160303054251523,127.115096,37.377883,default        ,048d38be49e0,W 
 20160301210628684,127.115391,37.378222,default        ,048d38be49e0,W 
 20160227153736228,127.089186,37.378961,default        ,048d38be49e0,W 
 20160224225433171,127.114253,37.378295,default        ,048d38be49e0,W 
 20160219170139427,127.115073,37.378111,default        ,048d38be49e0,W 
 20160216131947951,127.114021,37.376583,default        ,048d38be49e0,W 
 20160212093134317,127.115610,37.378104,default        ,048d38be49e0,W 
 20160206071426054,127.117136,37.371928,default        ,048d38be49e0,W 
 20151204081529704,127.115433,37.378169,default        ,048d38be49e0,W 
 20161022081649000,127.115537,37.378272,               ,06300dcc6c11,I 
 20161022081649000,127.115410,37.378381,               ,06300dcc6c51,I 
 20161022081649000,127.115492,37.378345,               ,00078934abf3,I 
 20160303071136269,127.113736,37.384244,olleh_WiFi_ABF0,00078934abf3,W 
 20160301230930138,127.115412,37.378174,olleh_WiFi_ABF0,00078934abf3,W 
 20160227171620888,127.115288,37.378155,olleh_WiFi_ABF0,00078934abf3,W 
 20160302184346035,127.116068,37.378176,iptime         ,0026665e5374,W 
 20160301073650003,127.115628,37.378052,iptime         ,0026665e5374,W 
 20160227031700030,127.113892,37.375304,iptime         ,0026665e5374,W 
 20160224094729284,127.116257,37.378424,iptime         ,0026665e5374,W 
 20160219033428951,127.115550,37.377933,iptime         ,0026665e5374,W 
 20160215191869509,127.115236,37.377732,iptime         ,0026665e5374,W 
 20160205163859892,127.115822,37.378096,iptime         ,0026665e5374,W 
 20151203195471664,127.115286,37.377809,iptime         ,0026665e5374,W 
 20151201212677183,127.115033,37.378398,iptime         ,0026665e5374,W 
 20161022081649000,127.115492,37.378345,               ,085ddd3d1618,I 
 20160521215114637,127.111673,37.418360,olleh_WiFi_1614,085ddd3d1618,W 
 20160302192510888,127.115697,37.378039,BPL-R200 6E7F  ,000779096e7f,W 
 20160301082355695,127.115398,37.378196,BPL-R200 6E7F  ,000779096e7f,W 
 20160227035748450,127.114968,37.378380,BPL-R200 6E7F  ,000779096e7f,W 
 20160219043544647,127.113757,37.376791,BPL-R200 6E7F  ,000779096e7f,W 
 20160215200472242,127.115628,37.378050,BPL-R200 6E7F  ,000779096e7f,W 
 20160205174363796,127.115780,37.378101,BPL-R200 6E7F  ,000779096e7f,W 
 20140710212226903,127.115496,37.377835,BPL-R200 6E7F  ,000779096e7f,N 
 20151201223281125,127.115357,37.378404,BPL-R200 6E7F  ,000779096e7f,W 
 20151203205975567,127.115500,37.377920,BPL-R200 6E7F  ,000779096e7f,W 
 20151126223481298,127.115875,37.378162,BPL-R200 6E7F  ,000779096e7f,W 
